ra,dec,mag,ci
6.752481,-16.716116,-1.44,0.009
6.399195,-52.69566,-0.62,0.164
14.26103,19.18241,-0.05,1.239
14.660765,-60.833976,-0.01,0.71
18.61564,38.783692,0.03,-0.001
5.27815,45.997991,0.08,0.795
5.242298,-8.20164,0.18,-0.03
7.655033,5.224993,0.4,0.432
1.628556,-57.236757,0.45,-0.158
5.919529,7.407063,0.45,1.5
14.063729,-60.373039,0.61,-0.231
19.846388,8.868322,0.76,0.221
12.443311,-63.099092,0.77,-0.243
4.598677,16.509301,0.87,1.538
5.277926,46.000842,0.96,
13.419883,-11.161322,0.98,-0.235
16.490128,-26.432002,1.06,1.865
7.755277,28.026199,1.16,0.991
22.960838,-29.622236,1.17,0.145
12.795359,-59.688764,1.25,-0.238
20.690532,45.280338,1.25,0.092
14.660346,-60.8383,1.35,0.9
10.139532,11.967207,1.36,-0.087
6.977097,-28.972084,1.5,-0.211
7.576634,31.888276,1.58,0.034
12.519429,-57.113212,1.59,1.6
17.560145,-37.103821,1.62,-0.231
5.418851,6.349702,1.64,-0.224
5.438198,28.60745,1.65,-0.13
9.220041,-69.717208,1.67,0.07
5.603559,-1.20192,1.69,-0.184
22.137209,-46.960975,1.73,-0.07
5.679313,-1.942572,1.74,-0.199
8.158876,-47.336588,1.75,-0.145
12.900472,55.959821,1.76,-0.022
3.405378,49.86118,1.79,0.481
18.402868,-34.384616,1.79,-0.031
11.062155,61.751033,1.81,1.061
7.139857,-26.3932,1.83,0.671
13.792354,49.313265,1.85,-0.099
8.375236,-59.509483,1.86,1.196
17.62198,-42.997824,1.86,0.406
5.992149,44.947433,1.9,0.077
16.811077,-69.027715,1.91,1.447
6.628528,16.399252,1.93,0.001
8.745059,-54.708821,1.93,0.043
20.427459,-56.73509,1.94,-0.118
2.52975,89.264109,1.97,0.636
6.378329,-17.955918,1.98,-0.24
9.45979,-8.658603,1.99,1.44
2.119555,23.462423,2.01,1.151
10.332873,19.841489,2.01,1.128
0.72649,-17.986605,2.04,1.019
18.92109,-26.296722,2.05,-0.134
14.111395,-36.369954,2.06,1.011
0.139791,29.090432,2.07,-0.038
1.162194,35.620558,2.07,1.576
5.795941,-9.669605,2.07,-0.168
14.845105,74.155505,2.07,1.465
22.711115,-46.884577,2.07,1.61
17.582241,12.560035,2.08,0.155
3.136148,40.955648,2.09,-0.003
2.064984,42.329725,2.1,1.37
11.817663,14.57206,2.14,0.09
0.945143,60.71674,2.15,-0.046
12.691971,-48.959888,2.2,-0.023
8.059737,-40.003148,2.21,-0.269
9.284838,-59.275229,2.21,0.189
15.578128,26.714693,2.22,0.032
9.133268,-43.432589,2.23,1.665
13.398747,54.925362,2.23,0.057
20.370473,40.256679,2.23,0.673
0.675116,56.537331,2.24,1.17
17.943437,51.488895,2.24,1.521
5.533445,-0.299092,2.25,-0.175
0.152887,59.14978,2.28,0.38
13.664796,-53.466394,2.29,-0.171
16.005557,-22.62171,2.29,-0.117
16.83608,-34.293232,2.29,1.144
14.698823,-47.3882,2.3,-0.154
14.591786,-42.157824,2.33,-0.157
11.030677,56.382427,2.34,0.033
14.749784,27.074222,2.35,0.966
21.736433,9.875011,2.38,1.52
17.708132,-39.029983,2.39,-0.171
0.438056,-42.305981,2.4,1.083
11.897168,53.69476,2.41,0.044
17.172968,-15.72491,2.43,0.059
23.062901,28.082789,2.44,1.655
7.401584,-29.303104,2.45,-0.083
21.30963,62.585573,2.45,0.257
9.368562,-55.010668,2.47,-0.141
20.770178,33.970256,2.48,1.021
23.079348,15.205264,2.49,-0.002
3.037992,4.089734,2.54,1.63
16.619316,-10.56709,2.54,0.038
13.925667,-47.288375,2.55,-0.176
11.235138,20.523717,2.56,0.128
16.09062,-19.805453,2.56,-0.065
5.545504,-17.822289,2.58,0.211
12.13931,-50.722425,2.58,-0.128
12.263437,-17.541929,2.58,-0.107
19.043532,-29.880105,2.6,0.062
15.283449,-9.382917,2.61,-0.071
15.737798,6.425627,2.63,1.167
1.910668,20.808035,2.64,0.165
5.660817,-34.074108,2.65,-0.12
5.995351,37.212585,2.65,-0.083
12.573121,-23.396759,2.65,0.893
1.430216,60.235283,2.66,0.16
